UserID|Password|Role
YCHERN|password|student
KOH1|password|student
BR015|password|student
CT113|password|student
YCN019|password|student
DL007|password|student
DON84|password|student
ELI34|password|student
LE51|password|student
SL22|password|student
AKY013|password|student
ASMADHUKUMAR|password|supervisor
ASSOURIN|password|supervisor
ANUPAM|password|supervisor
ANWITAMAN|password|supervisor
Arvind ARVINDE|password|supervisor
BOAN|password|supervisor
ASWTCAI|password|supervisor
ASSCHAN|password|supervisor
CCLOY|password|supervisor
ASLTCHIA|password|supervisor
ASESCHNG|password|supervisor
GAOCONG|password|supervisor
ASDRAJAN|password|supervisor
ASDOUGLAS|password|supervisor
DNIYATO|password|supervisor
CAMBRIA|password|supervisor
xyfan|password|supervisor
ASWBGOH|password|supervisor
CTGUAN|password|supervisor
YHE|password|supervisor
ASSYHUANG|password|supervisor
ASSCHUI|password|supervisor
SRJOTY|password|supervisor
YPKE|password|supervisor
ADAMSKONG|password|supervisor
ASCKKWOH|password|supervisor
ASSKLAM|password|supervisor
ASCTLAU|password|supervisor
EBSLEE|password|supervisor
boyang.li|password|supervisor
ASFLI|password|supervisor
LIMO|password|supervisor
YI_LI|password|supervisor
gslin|password|supervisor
SHANG-WEI.LIN|password|supervisor
WSLIN|password|supervisor
LIU|password|supervisor
YANGLIU|password|supervisor
ziwei.liu|password|supervisor
anhtuan.luu|password|supervisor
YRLOKE|password|supervisor
C.LONG|password|supervisor
SHIJIAN.LU|password|supervisor
JUNLUO|password|supervisor
siqiang.luo|password|supervisor
MSABRY|password|supervisor
AWKNG|password|supervisor
HLOH|password|supervisor
ASYSOng|password|supervisor
OFERNANDO|password|supervisor
SINNOPAN|password|supervisor
MKMQIAN|password|supervisor
ASHCQUEK|password|supervisor
ASJAGATH|password|supervisor
ASHSSEAH|password|supervisor
ZQSHEN|password|supervisor
SMITHA|password|supervisor
ASSOURAV|password|supervisor
AXSUN|password|supervisor
cheewei.tan|password|supervisor
TANRUI|password|supervisor
ASXYTANG|password|supervisor
kianboon.tay|password|supervisor
ASTSRIKAN|password|supervisor
vidya.sudarshan|password|supervisor
ASCHVUN|password|supervisor
YGWEN|password|supervisor
ASCKYEO|password|supervisor
HAN.YU|password|supervisor
HANWANGZHANG|password|supervisor
ZHANGJ|password|supervisor
tianwei.zhang|password|supervisor
JUNZHAO|password|supervisor
ASJMZHENG|password|supervisor
